trajectory_id,experiment_id,x_m,y_m,z_m,ground_z_m,release_x_m,release_y_m,release_z_m,observed_runout_m,block_id,mass_kg,radius_m,source
v020,tschamut2014,102.220000,151.490000,20.866574,20.706574,30.602000,235.280000,73.061391,110.226594,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v023,tschamut2014,54.244000,196.730000,51.420422,51.243756,29.832000,235.820000,73.492513,46.086591,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v028,tschamut2014,64.531000,145.770000,28.081131,27.921131,29.046000,234.440000,73.113741,95.506828,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v032,tschamut2014,93.923000,163.230000,27.778215,27.579881,59.474000,257.590000,74.861956,100.451696,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v033,tschamut2014,114.920000,165.720000,23.453983,23.277316,59.212000,257.110000,74.711456,107.030432,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v034,tschamut2014,114.920000,165.720000,23.453983,23.277316,59.212000,257.110000,74.711456,107.030432,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v038,tschamut2014,66.433000,136.640000,23.926050,23.727717,13.739000,228.110000,74.453122,105.562392,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v055,tschamut2014,53.101000,168.330000,40.146551,39.986551,13.937000,227.430000,74.088204,70.898723,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v065,tschamut2014,45.975000,147.730000,33.575039,33.415039,14.162000,227.470000,74.047513,85.851818,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v068,tschamut2014,88.302000,144.280000,21.496583,21.298249,21.480000,228.750000,72.753865,107.704970,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v069,tschamut2014,47.039000,133.850000,27.679215,27.502548,18.909000,230.450000,74.074155,100.612409,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v076,tschamut2014,71.478000,146.670000,26.726898,26.528565,33.832000,236.730000,72.871646,97.611602,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v083,tschamut2014,111.640000,169.830000,25.976902,25.778569,60.109000,259.480000,75.469633,103.404867,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v093,tschamut2014,112.890000,172.770000,26.855802,26.657469,57.782000,258.080000,75.489466,101.561251,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v095,tschamut2014,109.420000,164.770000,24.459945,24.283278,58.416000,256.870000,74.815369,105.279713,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v101,tschamut2014,110.830000,170.850000,26.574968,26.398301,58.928000,257.270000,74.848395,100.807906,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v105,tschamut2014,80.760000,167.470000,32.795648,32.635648,33.590000,237.180000,73.077525,84.169430,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v107,tschamut2014,56.074000,215.630000,58.624666,58.464666,34.738000,237.620000,72.965824,30.639598,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
